"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Slc1a5",9.28104027462514e-32,0.579587975107836,0.984,0.932,2.14224971618898e-27,"Slc1a5"
"Acox1",1.28582418546774e-30,-0.722478834746127,0.927,0.969,2.96793938489665e-26,"Acox1"
"Dio2",1.02191651807842e-29,-2.49277820902577,0.19,0.473,2.35878770702861e-25,"Dio2"
"Ralgapa2",2.24910094033906e-27,0.414827960511194,0.997,0.984,5.19137479049063e-23,"Ralgapa2"
"Gpd1",1.1364938976031e-26,0.496765873571201,0.992,0.954,2.62325521444747e-22,"Gpd1"
"Pmepa1",1.73041551149291e-26,-0.818808708682977,0.711,0.855,3.99414508362794e-22,"Pmepa1"
"Pdk4",4.43742168586586e-24,-0.601979091209583,0.927,0.967,1.02424567353156e-19,"Pdk4"
"Coq10b",2.44629839627003e-23,-1.53395586923206,0.281,0.523,5.64654595827049e-19,"Coq10b"
"Cish",4.61879239581441e-23,1.0219406297431,0.617,0.347,1.06610966080188e-18,"Cish"
"Ffar4",6.25299798430834e-23,-1.90882168974623,0.224,0.463,1.44331699473805e-18,"Ffar4"
"Gm20721",1.94497298374725e-21,-1.52019617904395,0.247,0.482,4.4893866410854e-17,"Gm20721"
"Ebf1",7.74825863908003e-21,0.426877264774665,1,0.991,1.78845305907245e-16,"Ebf1"
"Nr4a2",8.82613937631221e-21,-1.86790062597756,0.198,0.431,2.03724949084038e-16,"Nr4a2"
"Gpat4",2.24303539679363e-20,-0.78444602727971,0.755,0.831,5.17737430287907e-16,"Gpat4"
"Ldlr",2.7327898124859e-20,1.61558347473318,0.279,0.104,6.30782544517995e-16,"Ldlr"
"St3gal5",6.57583690205537e-20,-1.41005129390361,0.331,0.529,1.51783467373242e-15,"St3gal5"
"Gmpr",6.77599728992983e-20,-2.07434458816542,0.258,0.474,1.5640356944616e-15,"Gmpr"
"Acss2",6.83737875359932e-20,0.791365798097033,0.805,0.648,1.5782037639058e-15,"Acss2"
"A530016L24Rik",8.65617459508242e-20,1.39059362472463,0.279,0.102,1.99801822003692e-15,"A530016L24Rik"
"Agl",1.02964452035957e-19,0.728478789332571,0.81,0.614,2.37662548189396e-15,"Agl"
"Cd36",1.35969165808409e-19,-0.347691458821269,1,0.997,3.1384402851897e-15,"Cd36"
"Tent5a",1.96910422867492e-19,1.33157212140407,0.297,0.115,4.54508638062744e-15,"Tent5a"
"Lncbate10",4.55775016913069e-19,-1.07345842374901,0.542,0.681,1.05201989403875e-14,"Lncbate10"
"Slc27a2",5.02320963213239e-19,-0.818195197261433,0.661,0.768,1.1594572472888e-14,"Slc27a2"
"Kcnb1",2.81035633922637e-18,1.18972906059984,0.43,0.221,6.48686450220231e-14,"Kcnb1"
"Tgfbr2",7.7969672990259e-18,0.952006934743369,0.529,0.301,1.79969599196116e-13,"Tgfbr2"
"Picalm",1.21172291997882e-17,-0.701155954678094,0.82,0.858,2.7968988438951e-13,"Picalm"
"Adra1a",3.6040732830938e-17,-0.458964450888086,0.958,0.971,8.31892195203711e-13,"Adra1a"
"Arhgap24",3.88000652381011e-17,0.389581596505839,0.995,0.962,8.9558310582585e-13,"Arhgap24"
"Eno1",4.21489209802823e-17,0.810957022209222,0.622,0.4,9.72881394066877e-13,"Eno1"
"Dcaf6",4.95960439273634e-17,0.47175775348231,0.956,0.88,1.1447758859314e-12,"Dcaf6"
"Ptger3",7.71559737059808e-17,1.2043540375921,0.37,0.179,1.78091418508145e-12,"Ptger3"
"Mmd",1.25656274647305e-16,-1.14132505806572,0.401,0.572,2.90039813140909e-12,"Mmd"
"Hk2",1.63263159701704e-16,0.528489574174642,0.948,0.864,3.76844025223473e-12,"Hk2"
"Tmed5",2.18166327108314e-16,-0.642780113929413,0.688,0.802,5.03571516231411e-12,"Tmed5"
"Atxn1",2.31437749450056e-16,-0.636613404190193,0.867,0.909,5.34204613280618e-12,"Atxn1"
"Steap4",3.01212844148978e-16,1.6306504828943,0.315,0.145,6.95259486864671e-12,"Steap4"
"Ddhd2",3.38199157719351e-16,-0.500472174442319,0.919,0.947,7.80631295847807e-12,"Ddhd2"
"Adamtsl3",4.18488686461863e-16,-1.96272204668848,0.112,0.307,9.65955586091272e-12,"Adamtsl3"
"Ampd3",7.86057690030434e-16,1.07189442508756,0.388,0.202,1.81437836012825e-11,"Ampd3"
"Abcd3",1.05699883660799e-15,-0.45895320469467,0.927,0.945,2.43976471465856e-11,"Abcd3"
"Sc5d",1.09178931489901e-15,0.962384259563282,0.388,0.194,2.5200680966499e-11,"Sc5d"
"Klhl2",1.16936240340118e-15,0.814776955735486,0.669,0.486,2.69912229953061e-11,"Klhl2"
"Dhrs9",1.91281148766006e-15,-1.52370864889703,0.193,0.387,4.41515147581695e-11,"Dhrs9"
"Acsl5",6.29685969995994e-15,0.910284686558039,0.583,0.386,1.45344115594475e-10,"Acsl5"
"Ppara",1.03740398041433e-14,-0.301441873275985,0.995,0.996,2.39453586759235e-10,"Ppara"
"Acadl",1.65859415750101e-14,-0.545569556545489,0.815,0.86,3.82836703434384e-10,"Acadl"
"Lama4",2.11186770878161e-14,0.500825367109167,0.924,0.799,4.87461304540972e-10,"Lama4"
"Nrg4",2.42012416126677e-14,-0.282114221802797,0.995,0.999,5.58613058903596e-10,"Nrg4"
"Nfyc",3.16048806525102e-14,0.413312603991475,0.94,0.883,7.2950385522124e-10,"Nfyc"
"Slc12a2",3.44795884109999e-14,-1.0743400969247,0.513,0.636,7.95857859702699e-10,"Slc12a2"
"Ehhadh",1.06792875912665e-13,-1.12416227641407,0.461,0.595,2.46499316181613e-09,"Ehhadh"
"Prkce",1.48589981260197e-13,0.308677605777268,0.99,0.977,3.42975394744787e-09,"Prkce"
"Me1",2.03843860803743e-13,0.762725766318907,0.638,0.449,4.70512399507199e-09,"Me1"
"Srebf1",2.12342654146933e-13,0.851081347700884,0.495,0.303,4.9012931430195e-09,"Srebf1"
"Lpin1",2.92935512753021e-13,0.45161493828865,0.935,0.812,6.76153750536523e-09,"Lpin1"
"Luzp1",2.93640914812789e-13,0.674812683464685,0.615,0.408,6.77781959570879e-09,"Luzp1"
"Cav1",1.33974724408643e-12,-0.535096295612709,0.849,0.889,3.09240458880029e-08,"Cav1"
"Atl2",1.49196636085434e-12,-0.616895663453645,0.763,0.805,3.44375675412399e-08,"Atl2"
"Lamb1",1.59372251707255e-12,-0.92121624165996,0.411,0.555,3.67863031390687e-08,"Lamb1"
"Rasl12",1.96813178185663e-12,0.637469885233,0.643,0.455,4.54284177888148e-08,"Rasl12"
"Palmd",2.12873403782123e-12,-0.562215931852023,0.781,0.83,4.91354390609896e-08,"Palmd"
"Flvcr1",2.93281810515974e-12,0.745232249138487,0.469,0.283,6.76953075032971e-08,"Flvcr1"
"Acot11",5.65981712353535e-12,0.469747241007262,0.857,0.769,1.30639898845443e-07,"Acot11"
"Rreb1",8.84278910937249e-12,-0.346944936569764,0.966,0.97,2.04109258222536e-07,"Rreb1"
"Sorl1",1.01812853883737e-11,0.958851063284936,0.372,0.213,2.35004429334442e-07,"Sorl1"
"Trak2",1.08675897498735e-11,0.555358292890362,0.633,0.432,2.50845706606581e-07,"Trak2"
"Chpt1",1.72242715326613e-11,0.295612635147506,0.992,0.96,3.97570635516888e-07,"Chpt1"
"Sgpl1",2.34608857710964e-11,-0.778333363875905,0.552,0.661,5.41524165368446e-07,"Sgpl1"
"Slc25a20",2.81243183761002e-11,-0.452444472105133,0.841,0.864,6.49165516757145e-07,"Slc25a20"
"Vgll4",3.4987644846033e-11,-0.426389827819979,0.919,0.942,8.07584818336134e-07,"Vgll4"
"Hacd2",5.51262842957561e-11,-0.3733891759528,0.964,0.972,1.27242489411464e-06,"Hacd2"
"Dgat1",7.17076058840455e-11,-0.494213421401235,0.753,0.811,1.65515495901554e-06,"Dgat1"
